index,productivity,quality,comparison,measure,rating,performance,evaluation,indicator,sleep_quality,quality_life,inequality,swb_measures,assessment,measurement,perception_quality,physiological_measures,performancebased,resilient_performance,performance_buildings,policy_performance
internal_well,,0.12473312765359879,0.12746793031692505,0.07681063562631607,0.08586608618497849,0.09873636811971664,,0.10439642518758774,0.09061992913484573,0.16913104057312012,0.184859961271286,0.07257740944623947,0.17903922498226166,0.18153490126132965,0.1254543662071228,0.17514610290527344,0.06522856652736664,0.061749834567308426,,0.20908784866333008
psychology,0.06242327392101288,0.23104508221149445,0.06151964142918587,0.0581791028380394,,0.09966032952070236,0.11020917445421219,0.06611140072345734,0.09591886401176453,,,0.07844093441963196,0.10142289847135544,,,,,0.05114201083779335,,0.1355629563331604
psychological_demands,,0.23104508221149445,0.07452404499053955,0.070525161921978,0.09372477233409882,,0.13594557344913483,0.14540667831897736,0.09591886401176453,0.10111827403306961,0.1630815863609314,0.14695627987384796,0.14475220441818237,0.09067029505968094,0.09287096560001373,0.13113097846508026,0.09524676203727722,0.05114201083779335,0.10185451805591583,0.07702137529850006
depression_anxiety,0.12966910004615784,0.23104508221149445,0.06151964142918587,0.07241471111774445,0.1488460898399353,0.0898812860250473,0.15356527268886566,0.15431812405586243,0.09591886401176453,,0.07969167828559875,0.07844093441963196,0.10142289847135544,0.05591065436601639,0.0865606740117073,0.07158413529396057,0.06507556140422821,0.10901696979999542,0.17539572715759277,0.1322207897901535
mental_hrqol,0.1999673992395401,0.15547595918178558,0.16956186294555664,0.18078631162643433,0.1460576057434082,0.11237571388483047,,,0.1474030762910843,0.23447605967521667,0.18288131058216095,0.17928411066532135,0.05879358947277069,0.11612685769796371,0.0957825779914856,0.06201976165175438,0.22708618640899658,0.12438562512397766,0.1376953423023224,0.12666676938533783
neuropsychological,0.12491308897733688,0.23104508221149445,0.1638522744178772,0.11400527507066727,0.24300552904605865,0.09033697843551636,0.13594557344913483,0.11399291455745697,0.16865894198417664,0.1572866141796112,0.1630815863609314,0.07844093441963196,0.14475220441818237,0.17496594786643982,0.09287096560001373,0.16920942068099976,0.1638772338628769,0.05114201083779335,0.23114684224128723,0.23305803537368774
hedonic_well,0.26714053750038147,0.11811824887990952,0.12746793031692505,0.16660775244235992,0.16462156176567078,0.09873636811971664,,0.230049729347229,0.09627652168273926,0.164004385471344,0.06391631066799164,,0.0676092803478241,0.27376458048820496,0.12406709045171738,0.1737736314535141,,0.08144685626029968,0.14079239964485168,0.20908784866333008
individual_mental,,0.054957062005996704,0.10643041878938675,0.16705702245235443,0.24300552904605865,0.05541687458753586,,0.14926952123641968,0.17109042406082153,,0.14568619430065155,0.0594506673514843,0.05879358947277069,0.17496594786643982,0.05446764454245567,0.15800076723098755,0.22708618640899658,0.12438562512397766,,0.1352120041847229
positive_mental,0.12476395815610886,0.23104508221149445,0.06151964142918587,0.1952688992023468,0.11065802723169327,0.11470507830381393,0.11024481803178787,0.11813543736934662,0.09591886401176453,,0.14568619430065155,0.07844093441963196,0.10142289847135544,0.12031256407499313,,,0.22708618640899658,0.12438562512397766,0.0639636293053627,0.1351163685321808
person_mental,0.10947141796350479,0.23104508221149445,0.0992550402879715,0.16705702245235443,0.15453670918941498,0.06397321820259094,0.15121681988239288,,0.09591886401176453,0.2560611963272095,0.14568619430065155,0.16252632439136505,0.10142289847135544,0.11612685769796371,0.1158008947968483,0.16516909003257751,0.22708618640899658,0.12438562512397766,,0.09743485599756241
mental_disorder,,0.12555812299251556,0.08000053465366364,0.16705702245235443,0.11065802723169327,0.19255448877811432,0.1769162267446518,0.14634904265403748,0.09591886401176453,,0.14568619430065155,0.138198584318161,0.08112361282110214,0.11612685769796371,,,0.22708618640899658,0.12438562512397766,0.09165520966053009,0.18602633476257324
mental_restoration,0.05593540146946907,0.058060552924871445,0.07400091737508774,0.16862963140010834,0.22926686704158783,0.07044784724712372,0.13887114822864532,0.14716017246246338,0.09591886401176453,0.11863619089126587,0.14568619430065155,0.16647471487522125,0.08112361282110214,0.19843222200870514,0.07215254753828049,,0.22708618640899658,0.12438562512397766,0.15675105154514313,0.06892813742160797
psychological_health,0.17012348771095276,0.23104508221149445,0.17831599712371826,0.13565967977046967,0.17338936030864716,0.14131461083889008,0.13594557344913483,0.11154919862747192,0.11888234317302704,0.10111827403306961,0.1630815863609314,0.11855527758598328,0.14475220441818237,0.09067029505968094,0.09287096560001373,0.13113097846508026,0.09524676203727722,0.17304058372974396,0.10917329788208008,0.2596471309661865
psychological_well,0.19717812538146973,0.23104508221149445,0.12746793031692505,0.07681063562631607,0.218511164188385,0.09873636811971664,0.13594557344913483,0.10439642518758774,0.09591886401176453,0.164004385471344,0.1630815863609314,0.07844093441963196,0.14475220441818237,0.09067029505968094,0.09287096560001373,0.13113097846508026,0.09524676203727722,0.05114201083779335,0.10185451805591583,0.20908784866333008
high_depression,0.12966910004615784,0.23104508221149445,0.06151964142918587,0.11187035590410233,,,0.13203056156635284,0.15431812405586243,0.09591886401176453,0.11109181493520737,0.16078197956085205,0.1150188148021698,0.12784385681152344,0.11099541187286377,,,0.10033009946346283,0.09060130268335342,0.12887364625930786,0.13350868225097656
determinants_depression,0.12966910004615784,0.23104508221149445,0.14877977967262268,0.15951628983020782,0.1598670482635498,0.1686258316040039,0.16322572529315948,0.15431812405586243,0.10626359283924103,0.12285012006759644,,0.07844093441963196,0.10142289847135544,,0.061988674104213715,,,0.16029781103134155,0.062203098088502884,0.1322207897901535
